"filename", "language", "C++", "JSON", "HTML", "CMake", "Dart", "Markdown", "YAML", "Gradle", "Java Properties", "XML", "Swift", "comment", "blank", "total"
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\common_widgets\gold_title_of_main_card.dart", "Dart", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 5, 59
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\common_widgets\play_icon_with_time.dart", "Dart", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\common_widgets\suggestion_filtered_container.dart", "Dart", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 5, 115
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\common_widgets\text_field\mobile_phone_text_field.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 5, 38
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\multi_bloc_provider.dart", "Dart", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 36
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\my_app.dart", "Dart", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 5, 57
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\film_details\film_details_page.dart", "Dart", 0, 0, 0, 0, 1107, 0, 0, 0, 0, 0, 0, 2, 76, 1185
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\films_filtered\films_filtered_page.dart", "Dart", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 5, 83
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\home\home_page.dart", "Dart", 0, 0, 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 14, 241
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\home\widgets\actor_birth_day_card.dart", "Dart", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 5, 73
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\home\widgets\add_to_wach_list.dart", "Dart", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\home\widgets\film_card.dart", "Dart", 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 10, 122
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\personal\appearance_page.dart", "Dart", 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 9, 173
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\personal\personal_page.dart", "Dart", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 6, 87
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\personal\settings_page.dart", "Dart", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 5, 90
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\search\main_pages\search_page.dart", "Dart", 0, 0, 0, 0, 245, 0, 0, 0, 0, 0, 0, 0, 13, 258
